id,tool_type,name,summary,license,programming_language,homepage,source,documentation,funding,funder,paper_url,dependents,datetime_added,datetime_checked,datetime_updated,keywords,stars,forks,watchers,contributors,sponsors,last_commit_date,open_issues_count,releases_count,latest_release_date,readme_url,license_url,governance_url,contributing_url,code_of_conduct_url,security_policy_url,sbom_url,openssf_best_practices_url,openssf_best_practices_badge_level,openssf_scorecard_url,openssf_scorecard_score,openssf_scorecard_branch_protection,openssf_scorecard_code_review,openssf_scorecard_maintained,openssf_scorecard_vulnerabilities,development_status,software_heritage_id
ace-riscv,software,ACE-RISCV,VM-based confidential computing framework for RISC-V with a formally verified security monitor providing attestation for confidential VMs.,,,,https://github.com/IBM/ACE-RISCV.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
enclaver,software,Enclaver,Open-source toolkit for packaging and running existing container workloads inside secure enclaves with attestation.,,,,https://github.com/enclaver-io/enclaver.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentient-enclaves-framework,software,Sentient Enclaves Framework,"Framework for building confidential AI and cryptographic applications inside AWS Nitro enclaves, with attestation-bound model execution.",,,,https://github.com/sentient-agi/Sentient-Enclaves-Framework.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaclave-java-tee-sdk,software,Apache Teaclave Java TEE SDK,Confidential computing SDK letting Java applications run privacy-sensitive computation inside Intel SGX enclaves.,,,,https://github.com/apache/teaclave-java-tee-sdk.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
trustflow,software,TrustFlow,"Zero-trust computing system that runs data preprocessing, machine learning and analysis inside TEEs with attestation-gated key release and data authorisation.",,,,https://github.com/secretflow/trustflow.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml-doctor,software,ML-Doctor,"Framework for running and comparing membership inference, model inversion, attribute inference and model stealing attacks against a target model.",,,,https://github.com/liuyugeng/ML-Doctor.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
diffpriv,software,diffpriv,"R package implementing generic differential privacy mechanisms, including sensitivity sampling for arbitrary analyst-supplied functions.",MIT,,,https://github.com/brubinstein/diffpriv.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
private-multiplicative-weights,software,PrivateMultiplicativeWeights.jl,Julia package generating differentially private synthetic data via the multiplicative weights exponential mechanism.,MIT,,,https://github.com/mrtzh/PrivateMultiplicativeWeights.jl.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
spark-privacy-preserver,software,Spark Privacy Preserver,"Anonymising library for Apache Spark providing k-anonymity, l-diversity, t-closeness and differential privacy over large dataframes.",,,,https://github.com/ThaminduR/spark-privacy-preserver.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypantera,software,pyPANTERA,"Python package applying metric differential privacy mechanisms to obfuscate text, replacing words with privatised alternatives under a formal budget.",,,,https://github.com/Kekkodf/pypantera.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
privacylens,software,PrivacyLens,"Python library that audits an ML pipeline for privacy vulnerabilities, running membership inference, model inversion and PII-leakage checks against a trained model.",,,,https://github.com/nithin42/privacylens.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
noisegate,software,Noisegate,"Differential privacy gateway that lets an untrusted LLM agent query sensitive data over MCP, enforcing a per-analyst privacy budget below the model and shipping a runnable attack gallery.",,,,https://github.com/yashmahajan10/llm-differential-privacy-gateway.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
dp-sniper,software,DP-Sniper,"Machine-learning-based tool that searches for differential privacy violations in black-box algorithms, producing a concrete counterexample and an empirical epsilon lower bound.",,,,https://github.com/eth-sri/dp-sniper.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
