rq_no,problem_area,question,n_tools,mapping_kind,harm_types,specific_harms,note
1,Identification of Problematic Data,How can methods for identifying problematic data be scaled to large (on the magnitude of trillions of tokens/samples) datasets?,5,direct,Human Rights and Civil Liberties | Autonomy | Societal and Cultural,Privacy loss | IP/copyright loss | Information degradation,"""Problematic data"" at web scale is concretely personal data, unlicensed copyrighted works, and low-quality/false text; scaling detection is what prevents each from entering training corpora."
2,Identification of Problematic Data,How can licence collection be automated to prevent training on unlicensed data?,5,direct,Autonomy,IP/copyright loss,"""Prevent training on unlicensed data"" is a verbatim match for misuse of an individual or organisation's copyright."
3,Identification of Problematic Data,How can the accuracy of licences be ensured when aggregating datasets from multiple sources?,5,direct,Autonomy,IP/copyright loss,
4,Identification of Problematic Data,How can problematic data be identified without full/direct access to the dataset?,1,direct,Human Rights and Civil Liberties | Autonomy | Societal and Cultural,Privacy loss | IP/copyright loss | Information degradation,Same target harms as RQ1; the contribution is doing the detection under restricted access.
5,Identification of Problematic Data,How can contamination of training data with problematic samples be reliably detected?,2,direct,Societal and Cultural | Human Rights and Civil Liberties,Information degradation | Privacy loss,Contamination with problematic samples (poisoned or otherwise harmful text) degrades what the trained system then outputs; personal data is the other canonical contaminant.
6,Identification of Problematic Data,How can harmful data be removed from a dataset without facilitating its easy identification by malicious actors?,10,direct,Societal and Cultural | Human Rights and Civil Liberties | Psychological,Violence/armed conflict | Privacy loss | Sexualisation,"Removal-without-signposting framing covers hazardous content (weapons/attack material) and personal data; also covers non-consensual sexual content (e.g. CSAM) in corpora under AIAAIC v1.8's revised Sexualisation definition (non-consensual sexualisation via a technology), which differs from the arXiv paper's older wording."
7,Infrastructure and Metadata to Analyze Large Datasets,What licence and meta-data reporting requirements could assist in responsible data practices?,7,direct,Autonomy | Human Rights and Civil Liberties,IP/copyright loss | Personality rights loss | Privacy loss,"Licence/metadata reporting is the mechanism by which copyright, personal data and likeness/voice-consent claims over training material can be traced and honoured."
8,Infrastructure and Metadata to Analyze Large Datasets,What infrastructure is needed to enable researchers to audit large datasets?,4,enabling,Human Rights and Civil Liberties | Autonomy | Societal and Cultural,Privacy loss | IP/copyright loss | Stereotyping,"Generic audit infrastructure, but the harms large-dataset audits actually surface are personal data, unlicensed material, and representational skew."
9,Infrastructure and Metadata to Analyze Large Datasets,"How can macro-scale dataset properties, such as persistent bias, be identified and/or measured?",6,direct,Societal and Cultural | Human Rights and Civil Liberties,Stereotyping | Discrimination,"""Persistent bias"" as a macro-scale dataset property is precisely over-/under-/non-representation of groups, which then yields unfair treatment on protected attributes."
10,Infrastructure and Metadata to Analyze Large Datasets,What information about datasets is necessary for determining their suitability for training?,4,enabling,Autonomy | Human Rights and Civil Liberties | Societal and Cultural,IP/copyright loss | Privacy loss | Stereotyping,"""Suitability for training"" is judged mainly on licensing, personal data, and representational composition."
