id,tool_type,name,summary,license,programming_language,homepage,source,documentation,funding,funder,paper_url,dependents_count,datetime_added,datetime_checked,datetime_updated,stars,forks,watchers,contributors,last_commit_date,open_issues_count,releases_count,latest_release_date,readme_url,license_url,governance_url,contributing_url,code_of_conduct_url,security_policy_url,sbom_url,openssf_best_practices_url,openssf_best_practices_badge_level,openssf_scorecard_url,openssf_scorecard_score,openssf_scorecard_branch_protection,openssf_scorecard_code_review,openssf_scorecard_maintained,openssf_scorecard_vulnerabilities,development_status,software_heritage_id
adversarial-robustness-toolbox,software,,"Python library for machine learning security that bundles attacks, defences, estimators and metrics for evaluating and hardening models against evasion, poisoning, extraction and inference threats across all major ML frameworks.",,,https://adversarial-robustness-toolbox.readthedocs.io/en/latest/,https://github.com/Trusted-AI/adversarial-robustness-toolbox.git,,,,,786,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
aequitas,software,,"Open-source bias auditing and fair-ML toolkit that computes group disparity metrics over labels, scores and sensitive attributes, and supports pre-, in- and post-processing bias mitigation experiments.",,,http://www.datasciencepublicpolicy.org/aequitas/,https://github.com/dssg/aequitas.git,,,,,204,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
agent-governance-toolkit,software,,"Policy enforcement, execution sandboxing, and action-level governance for AI agents -- blocks specific dangerous action types regardless of which agent/credential invokes them.",,,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit.git,,,,,0,2026-07-29 02:08,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
agent-safe-probe-x,software,Agent Safe Probe X,Open-source framework for automated safety evaluation of intelligent agents.,,,https://github.com/Mengmeara/agent-safe-probe-x,https://github.com/Mengmeara/agent-safe-probe-x.git,,,,,0,2026-07-29 00:03,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
agentbench,software,,"Comprehensive multi-environment benchmark for evaluating LLMs as agents, including a multi-agent (Avalon social-deduction) task category.",,,,https://github.com/THUDM/AgentBench,,,,,0,2026-07-28 19:45,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
ai-atlas-nexus,software,,"Python library and queryable knowledge graph unifying multiple AI risk taxonomies (IBM AI Risk Atlas, IBM Granite Guardian, MIT AI Risk Repository, NIST AI RMF and others) into one ontology, with compliance-questionnaire automation.",,,https://github.com/IBM/ai-atlas-nexus,https://github.com/IBM/ai-atlas-nexus.git,,,,,2,2026-07-29 03:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
ai-explainability-360,software,AI Explainability 360,"Extensible library of explainability algorithms and proxy explainability metrics spanning data, local post-hoc, direct and global explanations for tabular, text, image and time-series models.",,,https://aix360.res.ibm.com/,https://github.com/Trusted-AI/AIX360.git,,,,,169,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
ai-text-detector-skill,software,,"Local, offline CLI/Python tool that scores text for AI-generated-writing signals using explainable weighted heuristics rather than an opaque model, deliberately conservative on short text.",,,https://lynote.ai/ai-detector,https://github.com/lynote-ai/ai-text-detector,,,,,0,2026-07-28 12:58,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
aia-eia-js,software,Algorithmic Impact Assessment,"Government of Canada's open-source Algorithmic Impact Assessment tool, operationalizing its Directive on Automated Decision-Making as a structured self-assessment questionnaire for AI/automated-decision systems.",,,https://canada-ca.github.io/aia-eia-js/,https://github.com/canada-ca/aia-eia-js,,,,,0,2026-07-28 20:14,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
aif360,software,AI Fairness 360,"Python and R toolkit with a comprehensive set of bias metrics for datasets and models, explanations for those metrics, and a large catalogue of pre-, in- and post-processing debiasing algorithms.",,,https://aif360.res.ibm.com/,https://github.com/Trusted-AI/AIF360.git,,,,,756,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
