id,tool_type,name,summary,license,programming_language,homepage,source,documentation,funding,funder,stars,forks,watchers,contributors,last_commit_date,open_issues_count,releases_count,latest_release_date,readme_url,license_url,governance_url,contributing_url,code_of_conduct_url,security_policy_url,sbom_url,paper_url,openssf_best_practices_url,openssf_best_practices_badge_level,openssf_scorecard_url,openssf_scorecard_score,openssf_scorecard_branch_protection,openssf_scorecard_code_review,openssf_scorecard_maintained,openssf_scorecard_vulnerabilities,development_status,software_heritage_id,datetime_added,datetime_checked,datetime_updated
adversarial-robustness-toolbox,software,Adversarial Robustness Toolbox (ART),"Python library for machine learning security that bundles attacks, defences, estimators and metrics for evaluating and hardening models against evasion, poisoning, extraction and inference threats across all major ML frameworks.",MIT,Python,https://adversarial-robustness-toolbox.readthedocs.io/en/latest/,https://github.com/Trusted-AI/adversarial-robustness-toolbox.git,,,,6153,1331,103,145,2025-12-12,19,64,2025-07-07,https://github.com/Trusted-AI/adversarial-robustness-toolbox/blob/main/README.md,https://github.com/Trusted-AI/adversarial-robustness-toolbox/blob/main/LICENSE,https://github.com/Trusted-AI/adversarial-robustness-toolbox/blob/main/MAINTAINERS.md,https://github.com/Trusted-AI/adversarial-robustness-toolbox/blob/main/CONTRIBUTING.md,https://github.com/Trusted-AI/adversarial-robustness-toolbox/blob/main/CODE_OF_CONDUCT.md,https://github.com/Trusted-AI/adversarial-robustness-toolbox/blob/main/SECURITY.md,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox/dependency-graph/sbom,,https://www.bestpractices.dev/projects/5090,gold,https://scorecard.dev/viewer/?uri=github.com/Trusted-AI/adversarial-robustness-toolbox,5,-1,0,0,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
aequitas,software,Aequitas,"Open-source bias auditing and fair-ML toolkit that computes group disparity metrics over labels, scores and sensitive attributes, and supports pre-, in- and post-processing bias mitigation experiments.",MIT,Python,http://www.datasciencepublicpolicy.org/aequitas/,https://github.com/dssg/aequitas.git,,,,769,124,41,23,2026-05-12,55,0,,https://github.com/dssg/aequitas/blob/master/README.md,https://github.com/dssg/aequitas/blob/master/LICENSE,,,,,,,,,https://scorecard.dev/viewer/?uri=github.com/dssg/aequitas,3.7,6,8,0,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
agent-governance-toolkit,software,AI Agent Governance Toolkit,"Policy enforcement, execution sandboxing, and action-level governance for AI agents -- blocks specific dangerous action types regardless of which agent/credential invokes them.",MIT,Python,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit.git,,,,5628,956,86,131,2026-08-06,142,19,2026-06-09,https://github.com/microsoft/agent-governance-toolkit/blob/main/README.md,https://github.com/microsoft/agent-governance-toolkit/blob/main/LICENSE,https://github.com/microsoft/agent-governance-toolkit/blob/main/GOVERNANCE.md,https://github.com/microsoft/agent-governance-toolkit/blob/main/CONTRIBUTING.md,https://github.com/microsoft/agent-governance-toolkit/blob/main/CODE_OF_CONDUCT.md,https://github.com/microsoft/agent-governance-toolkit/blob/main/SECURITY.md,https://api.github.com/repos/microsoft/agent-governance-toolkit/dependency-graph/sbom,,https://www.bestpractices.dev/projects/12085,passing,https://scorecard.dev/viewer/?uri=github.com/microsoft/agent-governance-toolkit,7.7,5,8,10,0,,,2026-07-29 02:08,2026-08-06 07:38,2026-08-06 07:38
agent-safe-probe-x,software,ASP-X (Agent Safe Probe X),Open-source framework for automated safety evaluation of intelligent agents.,MIT,TypeScript,https://github.com/Mengmeara/agent-safe-probe-x,https://github.com/Mengmeara/agent-safe-probe-x.git,,,,82,0,1,1,2026-05-29,0,0,,https://github.com/Mengmeara/agent-safe-probe-x/blob/main/README.md,https://github.com/Mengmeara/agent-safe-probe-x/blob/main/LICENSE,,,,,,,,,,,,,,,,,2026-07-29 00:03,2026-08-06 07:38,2026-08-06 07:38
agentbench,software,AgentBench,"Comprehensive multi-environment benchmark for evaluating LLMs as agents, including a multi-agent (Avalon social-deduction) task category.",Apache-2.0,Python,,https://github.com/THUDM/AgentBench,,,,3649,272,26,13,2026-02-08,74,0,,https://github.com/THUDM/AgentBench/blob/main/README.md,https://github.com/THUDM/AgentBench/blob/main/LICENSE,,,,,https://api.github.com/repos/THUDM/AgentBench/dependency-graph/sbom,,,,,,,,,,,,2026-07-28 19:45,2026-08-06 07:38,2026-08-06 07:38
ai-atlas-nexus,software,AI Atlas Nexus,"Python library and queryable knowledge graph unifying multiple AI risk taxonomies (IBM AI Risk Atlas, IBM Granite Guardian, MIT AI Risk Repository, NIST AI RMF and others) into one ontology, with compliance-questionnaire automation.",Apache-2.0,Python,https://github.com/IBM/ai-atlas-nexus,https://github.com/IBM/ai-atlas-nexus.git,,,,131,35,7,18,2026-08-04,21,19,2026-07-31,https://github.com/IBM/ai-atlas-nexus/blob/main/README.md,https://github.com/IBM/ai-atlas-nexus/blob/main/LICENSE,,https://github.com/IBM/ai-atlas-nexus/blob/main/CONTRIBUTING.md,,,https://api.github.com/repos/IBM/ai-atlas-nexus/dependency-graph/sbom,,,,,,,,,,,,2026-07-29 03:00,2026-08-06 07:38,2026-08-06 07:38
ai-explainability-360,software,AI Explainability 360 (AIX360),"Extensible library of explainability algorithms and proxy explainability metrics spanning data, local post-hoc, direct and global explanations for tabular, text, image and time-series models.",Apache-2.0,Python,https://aix360.res.ibm.com/,https://github.com/Trusted-AI/AIX360.git,,,,1793,324,54,42,2026-07-23,57,3,2023-07-01,https://github.com/Trusted-AI/AIX360/blob/master/README.md,https://github.com/Trusted-AI/AIX360/blob/master/LICENSE,https://github.com/Trusted-AI/AIX360/blob/master/MAINTAINERS.md,https://github.com/Trusted-AI/AIX360/blob/master/CONTRIBUTING.md,,,https://api.github.com/repos/Trusted-AI/AIX360/dependency-graph/sbom,,https://www.bestpractices.dev/projects/9333,in_progress,https://scorecard.dev/viewer/?uri=github.com/Trusted-AI/AIX360,5.1,-1,7,10,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
ai-text-detector-skill,software,AI Text Detector (ai-detector-skill),"Local, offline CLI/Python tool that scores text for AI-generated-writing signals using explainable weighted heuristics rather than an opaque model, deliberately conservative on short text.",MIT,Python,https://lynote.ai/ai-detector,https://github.com/lynote-ai/ai-text-detector,,,,434,15,16,2,2026-08-05,3,1,2026-08-05,https://github.com/lynote-ai/ai-text-detector/blob/main/README.md,https://github.com/lynote-ai/ai-text-detector/blob/main/LICENSE,,https://github.com/lynote-ai/ai-text-detector/blob/main/CONTRIBUTING.md,,https://github.com/lynote-ai/ai-text-detector/blob/main/SECURITY.md,,,,,,,,,,,,,2026-07-28 12:58,2026-08-06 07:38,2026-08-06 07:38
aia-eia-js,software,Algorithmic Impact Assessment (AIA),"Government of Canada's open-source Algorithmic Impact Assessment tool, operationalizing its Directive on Automated Decision-Making as a structured self-assessment questionnaire for AI/automated-decision systems.",MIT,TypeScript,https://canada-ca.github.io/aia-eia-js/,https://github.com/canada-ca/aia-eia-js,,,,73,44,16,23,2025-10-03,41,8,2025-09-10,https://github.com/canada-ca/aia-eia-js/blob/master/README.md,https://github.com/canada-ca/aia-eia-js/blob/master/LICENSE,,https://github.com/canada-ca/aia-eia-js/blob/master/CONTRIBUTING.md,https://github.com/canada-ca/aia-eia-js/blob/master/CODE_OF_CONDUCT.md,https://github.com/canada-ca/aia-eia-js/blob/master/SECURITY.md,,,,,,,,,,,,,2026-07-28 20:14,2026-08-06 07:38,2026-08-06 07:38
aif360,software,AI Fairness 360 (AIF360),"Python and R toolkit with a comprehensive set of bias metrics for datasets and models, explanations for those metrics, and a large catalogue of pre-, in- and post-processing debiasing algorithms.",Apache-2.0,Python,https://aif360.res.ibm.com/,https://github.com/Trusted-AI/AIF360.git,,,,2849,910,90,75,2026-06-15,221,12,2024-04-08,https://github.com/Trusted-AI/AIF360/blob/main/README.md,https://github.com/Trusted-AI/AIF360/blob/main/LICENSE,https://github.com/Trusted-AI/AIF360/blob/main/MAINTAINERS.md,https://github.com/Trusted-AI/AIF360/blob/main/CONTRIBUTING.rst,,,https://api.github.com/repos/Trusted-AI/AIF360/dependency-graph/sbom,,https://www.bestpractices.dev/projects/7497,in_progress,https://scorecard.dev/viewer/?uri=github.com/Trusted-AI/AIF360,3.5,-1,3,0,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
