RQ_No,RGAF,EUAIAct,UNESCOAI,ASEANAI,CoEAI
1,rgaf-safe; rgaf-transparent,euaiact-a10,unescoai-transparency; unescoai-proportionality,aseanai-privacy,coeai-a11; coeai-a13
2,rgaf-accountable; rgaf-compliant,euaiact-a10,unescoai-accountability; unescoai-privacy,aseanai-accountability; aseanai-privacy,coeai-a11; coeai-a9
3,rgaf-accountable; rgaf-compliant,euaiact-a15; euaiact-a10,unescoai-accountability; unescoai-multistakeholder; unescoai-privacy,aseanai-accountability; aseanai-privacy,coeai-a11; coeai-a12; coeai-a9
4,rgaf-safe; rgaf-transparent; rgaf-accessible,euaiact-a10,unescoai-transparency; unescoai-proportionality,aseanai-privacy,coeai-a11; coeai-a13
5,rgaf-safe; rgaf-transparent,euaiact-a10,unescoai-proportionality,aseanai-reliability; aseanai-privacy,coeai-a11; coeai-a13; coeai-a12
6,rgaf-safe; rgaf-transparent,euaiact-a15; euaiact-a10,unescoai-transparency; unescoai-proportionality,aseanai-reliability; aseanai-privacy,coeai-a11; coeai-a13
7,rgaf-accountable; rgaf-compliant,euaiact-a11; euaiact-a10,unescoai-accountability; unescoai-transparency; unescoai-privacy,aseanai-transparency; aseanai-accountability; aseanai-privacy,coeai-a11; coeai-a8; coeai-a9
8,rgaf-transparent,euaiact-a11; euaiact-a10,unescoai-transparency; unescoai-multistakeholder,aseanai-transparency; aseanai-privacy; aseanai-stewardship,coeai-a11; coeai-a8
9,rgaf-fair; rgaf-transparent,euaiact-a10,unescoai-transparency; unescoai-fairness,aseanai-fairness; aseanai-privacy,coeai-a11; coeai-a10
10,rgaf-compliant,euaiact-a13; euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
11,rgaf-safe,euaiact-a10,unescoai-proportionality,aseanai-privacy,coeai-a11; coeai-a13
12,rgaf-secure,euaiact-a15; euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11; coeai-a12
13,rgaf-compliant,euaiact-a13; euaiact-a10,,aseanai-privacy,
14,rgaf-accountable; rgaf-sustainable,,unescoai-accountability; unescoai-multistakeholder,aseanai-stewardship,
15,rgaf-sustainable,euaiact-a10,,aseanai-privacy,
16,rgaf-transparent,euaiact-a10,unescoai-transparency,aseanai-privacy,
17,rgaf-transparent; rgaf-secure,euaiact-a10,unescoai-transparency; unescoai-privacy,aseanai-privacy,coeai-a11
18,rgaf-safe; rgaf-transparent; rgaf-sustainable,euaiact-a10,unescoai-transparency,aseanai-reliability; aseanai-privacy,coeai-a12
19,rgaf-transparent,euaiact-a13,unescoai-transparency,aseanai-transparency,coeai-a8; coeai-a13
20,rgaf-safe,euaiact-a10,unescoai-transparency; unescoai-privacy,aseanai-reliability; aseanai-privacy,coeai-a11; coeai-a13
21,rgaf-transparent,euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
22,,,,,
23,rgaf-transparent,euaiact-a13,unescoai-proportionality,aseanai-transparency,coeai-a8; coeai-a13
24,rgaf-transparent,euaiact-a13,unescoai-proportionality; unescoai-multistakeholder,aseanai-transparency,coeai-a8; coeai-a13
25,,,,aseanai-human-centricity,
26,rgaf-accessible,euaiact-a13,unescoai-transparency,aseanai-transparency,coeai-a8; coeai-a13
27,,euaiact-a12,,,
28,rgaf-sustainable,,unescoai-sustainability,,
29,rgaf-transparent; rgaf-accessible; rgaf-secure,euaiact-a10,unescoai-transparency; unescoai-privacy,aseanai-transparency; aseanai-privacy,coeai-a11; coeai-a8
30,rgaf-accessible; rgaf-secure,euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
31,rgaf-safe,euaiact-a10,unescoai-privacy,aseanai-reliability; aseanai-privacy,coeai-a11; coeai-a13
32,rgaf-transparent; rgaf-secure,euaiact-a10,unescoai-transparency; unescoai-privacy,aseanai-privacy,coeai-a11
33,rgaf-fair; rgaf-sustainable,euaiact-a13,unescoai-fairness,aseanai-fairness,
34,rgaf-sustainable,euaiact-a11,unescoai-multistakeholder,aseanai-stewardship,
35,rgaf-sustainable,,,,
36,rgaf-transparent; rgaf-accessible,euaiact-a12,unescoai-transparency,aseanai-transparency,coeai-a8
37,rgaf-accessible,,unescoai-proportionality,,
38,rgaf-accessible,,unescoai-proportionality,,
39,rgaf-safe; rgaf-transparent; rgaf-accessible,,unescoai-safety; unescoai-transparency,aseanai-transparency; aseanai-reliability,coeai-a8; coeai-a13
40,rgaf-secure,euaiact-a13; euaiact-a12; euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
41,rgaf-accountable; rgaf-accessible; rgaf-human-centred,euaiact-a13; euaiact-a10,unescoai-accountability,aseanai-accountability; aseanai-privacy,coeai-a11; coeai-a9
42,rgaf-secure,euaiact-a13; euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
43,rgaf-secure; rgaf-human-centred,euaiact-a13; euaiact-a12; euaiact-a15,unescoai-safety; unescoai-multistakeholder,,
44,rgaf-secure,euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
45,rgaf-secure,euaiact-a13; euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
46,rgaf-safe,euaiact-a15; euaiact-a10,unescoai-safety,aseanai-privacy,coeai-a11
47,rgaf-secure,euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
48,,,,,
49,rgaf-safe,euaiact-a15,unescoai-safety,aseanai-reliability,coeai-a12
50,rgaf-safe; rgaf-sustainable,euaiact-a15; euaiact-a10,unescoai-safety; unescoai-sustainability,aseanai-reliability; aseanai-privacy,coeai-a11; coeai-a12
51,rgaf-sustainable,,unescoai-sustainability,,
52,rgaf-sustainable,,unescoai-sustainability,,
53,rgaf-sustainable,,,,
54,rgaf-accessible,,,,
55,rgaf-safe; rgaf-accountable; rgaf-compliant,,unescoai-safety; unescoai-proportionality,aseanai-accountability; aseanai-reliability,coeai-a13
56,,,,,
57,rgaf-accountable,,,,
58,rgaf-safe,euaiact-a15,unescoai-safety,aseanai-reliability,coeai-a12
59,rgaf-transparent; rgaf-human-centred,,unescoai-transparency,aseanai-transparency,coeai-a8
61,,euaiact-a13,,,
62,rgaf-accountable; rgaf-compliant,,,aseanai-accountability,
63,rgaf-transparent,euaiact-a13,unescoai-transparency,aseanai-transparency,coeai-a8
64,rgaf-safe; rgaf-transparent,euaiact-a13,unescoai-safety; unescoai-transparency,aseanai-reliability,coeai-a13
65,rgaf-safe,euaiact-a15,unescoai-safety,aseanai-reliability,coeai-a12
66,rgaf-secure,euaiact-a10,unescoai-privacy,aseanai-privacy,coeai-a11
67,rgaf-safe; rgaf-transparent,euaiact-a15,unescoai-safety,aseanai-reliability,coeai-a12
68,rgaf-transparent,euaiact-a13,unescoai-transparency,aseanai-transparency,coeai-a8; coeai-a13
69,rgaf-safe; rgaf-transparent,euaiact-a15; euaiact-a10,unescoai-safety; unescoai-transparency,aseanai-reliability; aseanai-privacy,coeai-a11; coeai-a12
70,rgaf-safe,euaiact-a15; euaiact-a10,unescoai-safety,aseanai-reliability; aseanai-privacy,coeai-a11; coeai-a12
71,rgaf-safe; rgaf-accountable; rgaf-sustainable; rgaf-secure,euaiact-a15,unescoai-accountability; unescoai-safety; unescoai-multistakeholder,aseanai-stewardship,
72,rgaf-accountable; rgaf-compliant,,unescoai-accountability; unescoai-privacy,aseanai-accountability,coeai-a9
73,rgaf-safe; rgaf-accountable,euaiact-a15,unescoai-accountability; unescoai-safety; unescoai-multistakeholder,aseanai-stewardship,
74,rgaf-sustainable; rgaf-secure,euaiact-a15,unescoai-safety; unescoai-sustainability,,
75,,,,,
76,rgaf-secure,euaiact-a15,unescoai-safety,,
77,,,,,
78,,euaiact-a10,,aseanai-privacy,
79,,,,,
